chain,customer_id,order_number,restaurant_id,restaurant_city,restaurant_state,restaurant_zip_code,order_purchase_date,order_purchase_time,time_of_day,order_month,order_month_name,order_year,season,order_purchase_method,coupon_used,alcohol_purchased,gender,has_children,item_number,item_description,item_code,item_category,quantity,menu_price,item_total_cost,Profit,order_total_cost
ABC,ABC2024000000,123458941.0,482,Los Angeles,California,155096,2025-05-04,20:51,PM,5.0,May,2025.0,Spring,Dine In,Yes,Yes,M,No,11,Cornbread Salad,11_Cornbread Salad,Salads,8,10,78,102,179
ABC,ABC2024000001,123458941.0,482,Los Angeles,California,155096,2025-05-04,20:51,PM,5.0,May,2025.0,Spring,Dine In,Yes,Yes,F,Yes,34,Toasted Ravioli,34_Toasted Ravioli,Pasta,1,4,4,175,179
ABC,ABC2024000002,123458941.0,482,Los Angeles,California,155096,2025-05-04,20:51,PM,5.0,May,2025.0,Spring,Dine In,Yes,Yes,F,Yes,24,White Pizza,24_White Pizza,Pizza,4,4,17,162,179
ABC,ABC2024000003,123458941.0,482,Los Angeles,California,155096,2025-05-04,20:51,PM,5.0,May,2025.0,Spring,Dine In,Yes,Yes,M,No,5,Wild Rice Salad,5_Wild Rice Salad,Salads,6,10,58,121,179
ABC,ABC2024000004,123458941.0,482,Los Angeles,California,155096,2025-05-04,20:51,PM,5.0,May,2025.0,Spring,Dine In,Yes,Yes,M,No,39,Fried Chicken Sandwich,39_Fried Chicken Sandwich,Sandwiches,5,4,22,158,179
ABC,ABC2024000005,145687112.0,468,Miami,Florida,387604,2024-08-31,11:17,AM,8.0,August,2024.0,Summer,Carry Out,Yes,No,F,Yes,28,Prosciutto Arugula Pizza,28_Prosciutto Arugula Pizza,Pizza,1,11,11,114,125
ABC,ABC2024000006,145687112.0,468,Miami,Florida,387604,2024-08-31,11:17,AM,8.0,August,2024.0,Summer,Carry Out,Yes,No,F,No,48,Breadsticks,48_Breadsticks,Appetizers,7,5,38,87,125
ABC,ABC2024000007,145687112.0,468,Miami,Florida,387604,2024-08-31,11:17,AM,8.0,August,2024.0,Summer,Carry Out,Yes,No,M,Yes,37,Baked Ziti,37_Baked Ziti,Pasta,8,4,35,91,125
ABC,ABC2024000008,145687112.0,468,Miami,Florida,387604,2024-08-31,11:17,AM,8.0,August,2024.0,Summer,Carry Out,Yes,No,F,Yes,41,Cubano sandwich,41_Cubano sandwich,Sandwiches,6,6,39,86,125
ABC,ABC2024000009,145687112.0,468,Miami,Florida,387604,2024-08-31,11:17,AM,8.0,August,2024.0,Summer,Carry Out,Yes,No,M,No,49,Hot Wings,49_Hot Wings,Appetizers,3,1,3,122,125
ABC,ABC2024000010,289054589.0,445,Provo,Utah,772789,2024-02-21,08:07,AM,2.0,February,2024.0,Winter,Carry Out,No,Yes,F,No,34,Toasted Ravioli,34_Toasted Ravioli,Pasta,1,4,4,67,71
ABC,ABC2024000011,289054589.0,445,Provo,Utah,772789,2024-02-21,08:07,AM,2.0,February,2024.0,Winter,Carry Out,No,Yes,M,Yes,10,Wedge Salad with Blue Cheese Dressing,10_Wedge Salad with Blue Cheese Dressing,Salads,7,1,8,64,71
ABC,ABC2024000012,289054589.0,445,Provo,Utah,772789,2024-02-21,08:07,AM,2.0,February,2024.0,Winter,Carry Out,No,Yes,M,Yes,28,Prosciutto Arugula Pizza,28_Prosciutto Arugula Pizza,Pizza,4,11,43,28,71
ABC,ABC2024000013,289054589.0,445,Provo,Utah,772789,2024-02-21,08:07,AM,2.0,February,2024.0,Winter,Carry Out,No,Yes,F,No,19,Cheese Pizza,19_Cheese Pizza,Pizza,1,5,5,66,71
ABC,ABC2024000014,289054589.0,445,Provo,Utah,772789,2024-02-21,08:07,AM,2.0,February,2024.0,Winter,Carry Out,No,Yes,F,Yes,16,Bottled water,16_Bottled water,Beverages,1,11,11,60,71
ABC,ABC2024000015,125580367.0,400,Chicago,Illinois,531543,2024-08-31,12:07,PM,8.0,August,2024.0,Summer,Delivery,No,No,M,No,23,Pizza Sub,23_Pizza Sub,Pizza,5,8,38,2088,2231
ABC,ABC2024000016,125580367.0,400,Chicago,Illinois,531543,2024-08-31,12:07,PM,8.0,August,2024.0,Summer,Delivery,No,No,M,No,21,Pizza Blanca,21_Pizza Blanca,Pizza,6,4,26,2100,2231
ABC,ABC2024000017,125580367.0,400,Chicago,Illinois,531543,2024-08-31,12:07,PM,8.0,August,2024.0,Summer,Delivery,No,No,F,Yes,20,Pizza Cookie,20_Pizza Cookie,Pizza,6,6,39,2087,2231
ABC,ABC2024000018,125580367.0,400,Chicago,Illinois,531543,2024-08-31,12:07,PM,8.0,August,2024.0,Summer,Delivery,No,No,M,Yes,30,All Meat Stuffed Pizza Slice,30_All Meat Stuffed Pizza Slice,Pizza,1,2,2,2123,2231
ABC,ABC2024000019,125580367.0,400,Chicago,Illinois,531543,2024-08-31,12:07,PM,8.0,August,2024.0,Summer,Delivery,No,No,F,No,38,Mac 'N Cheese,38_Mac 'N Cheese,Pasta,4,4,17,2108,2231
ABC,ABC2024000020,125580367.0,400,Chicago,Illinois,531543,2024-08-31,12:07,PM,8.0,August,2024.0,Summer,Delivery,No,No,F,Yes,35,American Chop Suey,35_American Chop Suey,Pasta,8,2,17,2108,2231
ABC,ABC2024000021,125580367.0,400,Chicago,Illinois,531543,2024-08-31,12:07,PM,8.0,August,2024.0,Summer,Delivery,No,No,M,No,45,Garlic Bread,45_Garlic Bread,Appetizers,5,8,38,2088,2231
ABC,ABC2024000022,125580367.0,400,Chicago,Illinois,531543,2024-08-31,12:07,PM,8.0,August,2024.0,Summer,Delivery,No,No,F,No,8,Turkey Pinto Bean Salad,8_Turkey Pinto Bean Salad,Salads,1,3,3,2122,2231
ABC,ABC2024000023,125580367.0,400,Chicago,Illinois,531543,2024-08-31,12:07,PM,8.0,August,2024.0,Summer,Delivery,No,No,M,Yes,17,Bubble tea,17_Bubble tea,Beverages,4,10,39,2087,2231
ABC,ABC2024000024,125580367.0,400,Chicago,Illinois,531543,2024-08-31,12:07,PM,8.0,August,2024.0,Summer,Delivery,No,No,F,No,30,All Meat Stuffed Pizza Slice,30_All Meat Stuffed Pizza Slice,Pizza,8,2,17,2108,2231
