chain,customer_id,order_number,restaurant_id,restaurant_city,restaurant_state,restaurant_zip_code,order_purchase_date,order_purchase_time,time_of_day,order_month,order_month_name,order_year,season,order_purchase_method,coupon_used,alcohol_purchased,gender,has_children,item_number,item_description,item_code,item_category,quantity,menu_price,item_total_cost,Profit,order_total_cost
ABC,WX329998HU45,123458941,482,Los Angeles,California,155096,2019-05-04,20:51,PM,5.0,May,2019.0,Spring,Dine In,Yes,Yes,M,No,11,Cornbread Salad,11_Cornbread Salad,Salads,8,9,72,94,166
ABC,WX329998HU46,123458941,482,Los Angeles,California,155096,2019-05-04,20:51,PM,5.0,May,2019.0,Spring,Dine In,Yes,Yes,F,Yes,34,Toasted Ravioli,34_Toasted Ravioli,Pasta,1,4,4,162,166
ABC,WX329998HU47,123458941,482,Los Angeles,California,155096,2019-05-04,20:51,PM,5.0,May,2019.0,Spring,Dine In,Yes,Yes,F,Yes,24,White Pizza,24_White Pizza,Pizza,4,4,16,150,166
ABC,WX329998HU48,123458941,482,Los Angeles,California,155096,2019-05-04,20:51,PM,5.0,May,2019.0,Spring,Dine In,Yes,Yes,M,No,5,Wild Rice Salad,5_Wild Rice Salad,Salads,6,9,54,112,166
ABC,WX329998HU49,123458941,482,Los Angeles,California,155096,2019-05-04,20:51,PM,5.0,May,2019.0,Spring,Dine In,Yes,Yes,M,No,39,Fried Chicken Sandwich,39_Fried Chicken Sandwich,Sandwiches,5,4,20,146,166
ABC,WX329998HU50,145687112,468,Miami,Florida,387604,2018-08-31,11:17,AM,8.0,August,2018.0,Summer,Carry Out,Yes,No,F,Yes,28,Prosciutto Arugula Pizza,28_Prosciutto Arugula Pizza,Pizza,1,10,10,106,116
ABC,WX329998HU51,145687112,468,Miami,Florida,387604,2018-08-31,11:17,AM,8.0,August,2018.0,Summer,Carry Out,Yes,No,F,No,48,Breadsticks,48_Breadsticks,Appetizers,7,5,35,81,116
ABC,WX329998HU52,145687112,468,Miami,Florida,387604,2018-08-31,11:17,AM,8.0,August,2018.0,Summer,Carry Out,Yes,No,M,Yes,37,Baked Ziti,37_Baked Ziti,Pasta,8,4,32,84,116
ABC,WX329998HU53,145687112,468,Miami,Florida,387604,2018-08-31,11:17,AM,8.0,August,2018.0,Summer,Carry Out,Yes,No,F,Yes,41,Cubano sandwich,41_Cubano sandwich,Sandwiches,6,6,36,80,116
ABC,WX329998HU54,145687112,468,Miami,Florida,387604,2018-08-31,11:17,AM,8.0,August,2018.0,Summer,Carry Out,Yes,No,M,No,49,Hot Wings,49_Hot Wings,Appetizers,3,1,3,113,116
ABC,WX329998HU55,289054589,445,Provo,Utah,772789,2018-02-21,08:07,AM,2.0,February,2018.0,Winter,Carry Out,No,Yes,F,No,34,Toasted Ravioli,34_Toasted Ravioli,Pasta,1,4,4,62,66
ABC,WX329998HU56,289054589,445,Provo,Utah,772789,2018-02-21,08:07,AM,2.0,February,2018.0,Winter,Carry Out,No,Yes,M,Yes,10,Wedge Salad with Blue Cheese Dressing,10_Wedge Salad with Blue Cheese Dressing,Salads,7,1,7,59,66
ABC,WX329998HU57,289054589,445,Provo,Utah,772789,2018-02-21,08:07,AM,2.0,February,2018.0,Winter,Carry Out,No,Yes,M,Yes,28,Prosciutto Arugula Pizza,28_Prosciutto Arugula Pizza,Pizza,4,10,40,26,66
ABC,WX329998HU58,289054589,445,Provo,Utah,772789,2018-02-21,08:07,AM,2.0,February,2018.0,Winter,Carry Out,No,Yes,F,No,19,Cheese Pizza,19_Cheese Pizza,Pizza,1,5,5,61,66
ABC,WX329998HU59,289054589,445,Provo,Utah,772789,2018-02-21,08:07,AM,2.0,February,2018.0,Winter,Carry Out,No,Yes,F,Yes,16,Bottled water,16_Bottled water,Beverages,1,10,10,56,66
ABC,WX329998HU60,125580367,400,Chicago,Illinois,531543,2018-08-31,12:07,PM,8.0,August,2018.0,Summer,Delivery,No,No,M,No,23,Pizza Sub,23_Pizza Sub,Pizza,5,7,35,1933,1968
ABC,WX329998HU61,125580367,400,Chicago,Illinois,531543,2018-08-31,12:07,PM,8.0,August,2018.0,Summer,Delivery,No,No,M,No,21,Pizza Blanca,21_Pizza Blanca,Pizza,6,4,24,1944,1968
ABC,WX329998HU62,125580367,400,Chicago,Illinois,531543,2018-08-31,12:07,PM,8.0,August,2018.0,Summer,Delivery,No,No,F,Yes,20,Pizza Cookie,20_Pizza Cookie,Pizza,6,6,36,1932,1968
ABC,WX329998HU63,125580367,400,Chicago,Illinois,531543,2018-08-31,12:07,PM,8.0,August,2018.0,Summer,Delivery,No,No,M,Yes,30,All Meat Stuffed Pizza Slice,30_All Meat Stuffed Pizza Slice,Pizza,1,2,2,1966,1968
ABC,WX329998HU64,125580367,400,Chicago,Illinois,531543,2018-08-31,12:07,PM,8.0,August,2018.0,Summer,Delivery,No,No,F,No,38,Mac 'N Cheese,38_Mac 'N Cheese,Pasta,4,4,16,1952,1968
ABC,WX329998HU65,125580367,400,Chicago,Illinois,531543,2018-08-31,12:07,PM,8.0,August,2018.0,Summer,Delivery,No,No,F,Yes,35,American Chop Suey,35_American Chop Suey,Pasta,8,2,16,1952,1968
ABC,WX329998HU66,125580367,400,Chicago,Illinois,531543,2018-08-31,12:07,PM,8.0,August,2018.0,Summer,Delivery,No,No,M,No,45,Garlic Bread,45_Garlic Bread,Appetizers,5,7,35,1933,1968
ABC,WX329998HU67,125580367,400,Chicago,Illinois,531543,2018-08-31,12:07,PM,8.0,August,2018.0,Summer,Delivery,No,No,F,No,8,Turkey Pinto Bean Salad,8_Turkey Pinto Bean Salad,Salads,1,3,3,1965,1968
ABC,WX329998HU68,125580367,400,Chicago,Illinois,531543,2018-08-31,12:07,PM,8.0,August,2018.0,Summer,Delivery,No,No,M,Yes,17,Bubble tea,17_Bubble tea,Beverages,4,9,36,1932,1968
ABC,WX329998HU69,125580367,400,Chicago,Illinois,531543,2018-08-31,12:07,PM,8.0,August,2018.0,Summer,Delivery,No,No,F,No,30,All Meat Stuffed Pizza Slice,30_All Meat Stuffed Pizza Slice,Pizza,8,2,16,1952,1968
ABC,WX329998HU70,125580367,400,Chicago,Illinois,531543,2018-08-31,12:07,PM,8.0,August,2018.0,Summer,Delivery,No,No,M,Yes,12,Grilled steak salad,12_Grilled steak salad,Salads,2,4,8,1960,1968
ABC,WX329998HU71,125580367,400,Chicago,Illinois,531543,2018-08-31,12:07,PM,8.0,August,2018.0,Summer,Delivery,No,No,M,Yes,34,Toasted Ravioli,34_Toasted Ravioli,Pasta,7,4,28,1940,1968
ABC,WX329998HU72,125580367,400,Chicago,Illinois,531543,2018-08-31,12:07,PM,8.0,August,2018.0,Summer,Delivery,No,No,F,No,37,Baked Ziti,37_Baked Ziti,Pasta,7,4,28,1940,1968
ABC,WX329998HU73,125580367,400,Chicago,Illinois,531543,2018-08-31,12:07,PM,8.0,August,2018.0,Summer,Delivery,No,No,M,Yes,37,Baked Ziti,37_Baked Ziti,Pasta,8,4,32,1936,1968
ABC,WX329998HU74,125580367,400,Chicago,Illinois,531543,2018-08-31,12:07,PM,8.0,August,2018.0,Summer,Delivery,No,No,F,No,47,Feta Fingers,47_Feta Fingers,Appetizers,1,9,9,1959,1968
ABC,WX329998HU75,125580367,400,Chicago,Illinois,531543,2018-08-31,12:07,PM,8.0,August,2018.0,Summer,Delivery,No,No,F,No,23,Pizza Sub,23_Pizza Sub,Pizza,2,7,14,1954,1968
ABC,WX329998HU76,125580367,400,Chicago,Illinois,531543,2018-08-31,12:07,PM,8.0,August,2018.0,Summer,Delivery,No,No,M,Yes,7,Simple Waldorf Salad,7_Simple Waldorf Salad,Salads,1,1,1,1967,1968
ABC,WX329998HU77,125580367,400,Chicago,Illinois,531543,2018-08-31,12:07,PM,8.0,August,2018.0,Summer,Delivery,No,No,F,No,27,Create Your Own Pizza,27_Create Your Own Pizza,Pizza,6,4,24,1944,1968
ABC,WX329998HU78,125580367,400,Chicago,Illinois,531543,2018-08-31,12:07,PM,8.0,August,2018.0,Summer,Delivery,No,No,M,Yes,30,All Meat Stuffed Pizza Slice,30_All Meat Stuffed Pizza Slice,Pizza,5,2,10,1958,1968
ABC,WX329998HU79,125580367,400,Chicago,Illinois,531543,2018-08-31,12:07,PM,8.0,August,2018.0,Summer,Delivery,No,No,M,Yes,24,White Pizza,24_White Pizza,Pizza,4,4,16,1952,1968
ABC,WX329998HU80,125580367,400,Chicago,Illinois,531543,2018-08-31,12:07,PM,8.0,August,2018.0,Summer,Delivery,No,No,F,No,10,Wedge Salad with Blue Cheese Dressing,10_Wedge Salad with Blue Cheese Dressing,Salads,6,1,6,1962,1968
ABC,WX329998HU81,125580367,400,Chicago,Illinois,531543,2018-08-31,12:07,PM,8.0,August,2018.0,Summer,Delivery,No,No,F,Yes,18,Hot Cocoa,18_Hot Cocoa,Beverages,4,5,20,1948,1968
ABC,WX329998HU82,125580367,400,Chicago,Illinois,531543,2018-08-31,12:07,PM,8.0,August,2018.0,Summer,Delivery,No,No,M,No,4,Classic Cobb Salad,4_Classic Cobb Salad,Salads,5,3,15,1953,1968
