chain,customer_id,order_number,restaurant_id,restaurant_city,restaurant_state,restaurant_zip_code,order_purchase_date,order_purchase_time,time_of_day,order_month,order_month_name,order_year,season,order_purchase_method,coupon_used,alcohol_purchased,gender,has_children,item_number,item_description,item_code,item_category,quantity,menu_price,item_total_cost,Profit,order_total_cost
XYZ,XYZ2024000000,536365,714,Los Angeles,California,155096,2024-12-06,09:03,AM,12,December,2024,Winter,Dine In,Yes,No,M,No,276,Medium Cheese Pizza,276_Medium Cheese Pizza,Pizza,2,3,6,64,71
XYZ,XYZ2024000001,536365,714,Los Angeles,California,155096,2024-12-06,09:03,AM,12,December,2024,Winter,Dine In,Yes,No,F,Yes,294,Banana Pudding,294_Banana Pudding,Dessert,1,2,2,68,71
XYZ,XYZ2024000002,536365,714,Los Angeles,California,155096,2024-12-06,09:03,AM,12,December,2024,Winter,Dine In,Yes,No,F,Yes,283,Bruschetta,283_Bruschetta,Appetizers,1,4,4,66,71
XYZ,XYZ2024000003,536365,714,Los Angeles,California,155096,2024-12-06,09:03,AM,12,December,2024,Winter,Dine In,Yes,No,M,No,252,Ambrosia,252_Ambrosia,Salads,3,9,26,45,71
XYZ,XYZ2024000004,536365,714,Los Angeles,California,155096,2024-12-06,09:03,AM,12,December,2024,Winter,Dine In,Yes,No,M,No,279,Toasted Ravioli,279_Toasted Ravioli,Pasta,2,6,13,58,71
XYZ,XYZ2024000005,536365,714,Los Angeles,California,155096,2024-12-06,09:03,AM,12,December,2024,Winter,Dine In,Yes,No,F,Yes,259,Reuben Sandwich,259_Reuben Sandwich,Sandwiches,3,3,10,61,71
XYZ,XYZ2024000006,536365,714,Los Angeles,California,155096,2024-12-06,09:03,AM,12,December,2024,Winter,Dine In,Yes,No,F,No,319,Cheese Curds,319_Cheese Curds,Appetizers,1,10,10,61,71
XYZ,XYZ2024000007,536366,641,Chicago,Illinois,531543,2025-02-19,17:44,PM,2,February,2025,Winter,Carry Out,No,Yes,M,Yes,258,Caesar Salad,258_Caesar Salad,Salads,1,11,11,19,30
XYZ,XYZ2024000008,536366,641,Chicago,Illinois,531543,2025-02-19,17:44,PM,2,February,2025,Winter,Carry Out,No,Yes,F,Yes,305,Baked Ziti,305_Baked Ziti,Pasta,2,10,19,11,30
XYZ,XYZ2024000009,536367,984,Miami,Florida,387604,2025-03-06,14:07,PM,3,March,2025,Spring,Delivery,No,No,M,No,254,Garlic Bread Sticks,254_Garlic Bread Sticks,Appetizers,3,4,13,198,222
XYZ,XYZ2024000010,536367,984,Miami,Florida,387604,2025-03-06,14:07,PM,3,March,2025,Spring,Delivery,No,No,F,No,309,Upside-Down Pizza,309_Upside-Down Pizza,Pizza,4,2,9,202,222
XYZ,XYZ2024000011,536367,984,Miami,Florida,387604,2025-03-06,14:07,PM,3,March,2025,Spring,Delivery,No,No,M,Yes,302,Made-Rite,302_Made-Rite,Sandwiches,2,6,13,198,222
XYZ,XYZ2024000012,536367,984,Miami,Florida,387604,2025-03-06,14:07,PM,3,March,2025,Spring,Delivery,No,No,M,Yes,265,Breaded Pork Tenderloin Sandwich,265_Breaded Pork Tenderloin Sandwich,Sandwiches,2,7,15,196,222
XYZ,XYZ2024000013,536367,984,Miami,Florida,387604,2025-03-06,14:07,PM,3,March,2025,Spring,Delivery,No,No,F,No,318,Muffaletta Sandwich,318_Muffaletta Sandwich,Sandwiches,3,5,16,195,222
XYZ,XYZ2024000014,536367,984,Miami,Florida,387604,2025-03-06,14:07,PM,3,March,2025,Spring,Delivery,No,No,F,Yes,324,Sheet Pizza,324_Sheet Pizza,Pizza,2,11,21,189,222
XYZ,XYZ2024000015,536367,984,Miami,Florida,387604,2025-03-06,14:07,PM,3,March,2025,Spring,Delivery,No,No,M,No,281,Cream Pie,281_Cream Pie,Dessert,1,11,11,200,222
XYZ,XYZ2024000016,536367,984,Miami,Florida,387604,2025-03-06,14:07,PM,3,March,2025,Spring,Delivery,No,No,M,No,297,American Chop Suey,297_American Chop Suey,Pasta,4,1,4,207,222
XYZ,XYZ2024000017,536367,984,Miami,Florida,387604,2025-03-06,14:07,PM,3,March,2025,Spring,Delivery,No,No,M,Yes,288,Italian Beef Sandwich,288_Italian Beef Sandwich,Sandwiches,5,9,43,168,222
XYZ,XYZ2024000018,536367,984,Miami,Florida,387604,2025-03-06,14:07,PM,3,March,2025,Spring,Delivery,No,No,F,No,286,Pasta Primavera,286_Pasta Primavera,Pasta,4,9,34,177,222
XYZ,XYZ2024000019,536367,984,Miami,Florida,387604,2025-03-06,14:07,PM,3,March,2025,Spring,Delivery,No,No,F,Yes,297,American Chop Suey,297_American Chop Suey,Pasta,3,1,3,208,222
XYZ,XYZ2024000020,536367,984,Miami,Florida,387604,2025-03-06,14:07,PM,3,March,2025,Spring,Delivery,No,No,M,No,319,Cheese Curds,319_Cheese Curds,Appetizers,3,10,29,182,222
XYZ,XYZ2024000021,536368,935,Dallas,Texas,415306,2025-03-06,14:12,PM,3,March,2025,Spring,Carry Out,Yes,Yes,F,No,289,Dough Dunkers,289_Dough Dunkers,Appetizers,6,2,13,62,75
XYZ,XYZ2024000022,536368,935,Dallas,Texas,415306,2025-03-06,14:12,PM,3,March,2025,Spring,Carry Out,Yes,Yes,M,Yes,254,Garlic Bread Sticks,254_Garlic Bread Sticks,Appetizers,1,4,4,71,75
XYZ,XYZ2024000023,536368,935,Dallas,Texas,415306,2025-03-06,14:12,PM,3,March,2025,Spring,Carry Out,Yes,Yes,F,No,268,Baked Alaska,268_Baked Alaska,Dessert,3,4,13,62,75
XYZ,XYZ2024000024,536368,935,Dallas,Texas,415306,2025-03-06,14:12,PM,3,March,2025,Spring,Carry Out,Yes,Yes,M,Yes,274,Mac And Cheese,274_Mac And Cheese,Pasta,6,7,45,30,75
XYZ,XYZ2024000025,536369,679,Philadelphia,Pennsylvania,649938,2025-03-06,14:33,PM,3,March,2025,Spring,Dine In,No,No,M,Yes,306,Fresh-Brewed Iced Tea,306_Fresh-Brewed Iced Tea,Beverages,3,4,13,0,13
XYZ,XYZ2024000026,536370,507,Houston,Texas,436999,2025-03-07,17:57,PM,3,March,2025,Spring,Carry Out,Yes,No,F,No,320,Bbq Pizza,320_Bbq Pizza,Pizza,6,11,64,367,431
XYZ,XYZ2024000027,536370,507,Houston,Texas,436999,2025-03-07,17:57,PM,3,March,2025,Spring,Carry Out,Yes,No,M,Yes,322,Niçoise Salad,322_Niçoise Salad,Salads,1,3,3,428,431
XYZ,XYZ2024000028,536370,507,Houston,Texas,436999,2025-03-07,17:57,PM,3,March,2025,Spring,Carry Out,Yes,No,F,No,263,Unsweetned Tea,263_Unsweetned Tea,Beverages,5,9,43,388,431
XYZ,XYZ2024000029,536370,507,Houston,Texas,436999,2025-03-07,17:57,PM,3,March,2025,Spring,Carry Out,Yes,No,F,No,315,Sweet Tea,315_Sweet Tea,Beverages,3,2,6,425,431
XYZ,XYZ2024000030,536370,507,Houston,Texas,436999,2025-03-07,17:57,PM,3,March,2025,Spring,Carry Out,Yes,No,M,Yes,255,Omelet Sandwich,255_Omelet Sandwich,Sandwiches,1,10,10,422,431
XYZ,XYZ2024000031,536370,507,Houston,Texas,436999,2025-03-07,17:57,PM,3,March,2025,Spring,Carry Out,Yes,No,F,No,289,Dough Dunkers,289_Dough Dunkers,Appetizers,3,2,6,425,431
XYZ,XYZ2024000032,536370,507,Houston,Texas,436999,2025-03-07,17:57,PM,3,March,2025,Spring,Carry Out,Yes,No,M,Yes,264,Classic Carrot Cake,264_Classic Carrot Cake,Dessert,3,7,22,409,431
XYZ,XYZ2024000033,536370,507,Houston,Texas,436999,2025-03-07,17:57,PM,3,March,2025,Spring,Carry Out,Yes,No,M,Yes,271,Onion Rings,271_Onion Rings,Appetizers,3,2,6,425,431
XYZ,XYZ2024000034,536370,507,Houston,Texas,436999,2025-03-07,17:57,PM,3,March,2025,Spring,Carry Out,Yes,No,F,No,251,Pan Pizza,251_Pan Pizza,Pizza,3,10,29,402,431
XYZ,XYZ2024000035,536370,507,Houston,Texas,436999,2025-03-07,17:57,PM,3,March,2025,Spring,Carry Out,Yes,No,M,No,321,Breaded Garlic Mushrooms,321_Breaded Garlic Mushrooms,Appetizers,3,5,16,415,431
XYZ,XYZ2024000036,536370,507,Houston,Texas,436999,2025-03-07,17:57,PM,3,March,2025,Spring,Carry Out,Yes,No,M,Yes,267,Chicken Mini Tacos,267_Chicken Mini Tacos,Appetizers,4,6,26,406,431
XYZ,XYZ2024000037,536370,507,Houston,Texas,436999,2025-03-07,17:57,PM,3,March,2025,Spring,Carry Out,Yes,No,F,No,284,Tasty Highlight,284_Tasty Highlight,Pizza,2,2,4,427,431
XYZ,XYZ2024000038,536370,507,Houston,Texas,436999,2025-03-07,17:57,PM,3,March,2025,Spring,Carry Out,Yes,No,M,No,305,Baked Ziti,305_Baked Ziti,Pasta,2,10,19,412,431
XYZ,XYZ2024000039,536370,507,Houston,Texas,436999,2025-03-07,17:57,PM,3,March,2025,Spring,Carry Out,Yes,No,F,Yes,269,Jumbo Wings,269_Jumbo Wings,Appetizers,2,7,15,416,431
XYZ,XYZ2024000040,536370,507,Houston,Texas,436999,2025-03-07,17:57,PM,3,March,2025,Spring,Carry Out,Yes,No,M,No,272,French Dip Sandwich,272_French Dip Sandwich,Sandwiches,3,1,3,428,431
XYZ,XYZ2024000041,536370,507,Houston,Texas,436999,2025-03-07,17:57,PM,3,March,2025,Spring,Carry Out,Yes,No,F,Yes,279,Toasted Ravioli,279_Toasted Ravioli,Pasta,3,6,19,412,431
XYZ,XYZ2024000042,536370,507,Houston,Texas,436999,2025-03-07,17:57,PM,3,March,2025,Spring,Carry Out,Yes,No,M,Yes,273,Bananas Foster,273_Bananas Foster,Dessert,6,4,26,406,431
XYZ,XYZ2024000043,536370,507,Houston,Texas,436999,2025-03-07,17:57,PM,3,March,2025,Spring,Carry Out,Yes,No,F,No,275,Side Salad,275_Side Salad,Salads,5,7,37,394,431
XYZ,XYZ2024000044,536370,507,Houston,Texas,436999,2025-03-07,17:57,PM,3,March,2025,Spring,Carry Out,Yes,No,M,Yes,291,Lemonade,291_Lemonade,Beverages,5,9,43,388,431
XYZ,XYZ2024000045,536370,507,Houston,Texas,436999,2025-03-07,17:57,PM,3,March,2025,Spring,Carry Out,Yes,No,F,No,266,Chicken Wings,266_Chicken Wings,Appetizers,6,5,32,399,431
XYZ,XYZ2024000046,536371,986,Atlanta,Georgia,779767,2025-02-20,15:38,PM,2,February,2025,Winter,Delivery,No,No,M,No,253,Hawaiian,253_Hawaiian,Pizza,2,2,4,0,4
XYZ,XYZ2024000047,536372,580,Washington,District of Columbia,234817,2025-03-09,09:06,AM,3,March,2025,Spring,Dine In,Yes,Yes,F,Yes,300,Meatball Dip,300_Meatball Dip,Appetizers,6,9,51,15,66
XYZ,XYZ2024000048,536372,580,Washington,District of Columbia,234817,2025-03-09,09:06,AM,3,March,2025,Spring,Dine In,Yes,Yes,M,Yes,264,Classic Carrot Cake,264_Classic Carrot Cake,Dessert,2,7,15,51,66
XYZ,XYZ2024000049,536373,631,Boston,Massachusetts,793178,2025-03-09,11:48,AM,3,March,2025,Spring,Delivery,Yes,No,F,No,316,House Salad,316_House Salad,Salads,5,4,21,369,411
XYZ,XYZ2024000050,536373,631,Boston,Massachusetts,793178,2025-03-09,11:48,AM,3,March,2025,Spring,Delivery,Yes,No,M,Yes,265,Breaded Pork Tenderloin Sandwich,265_Breaded Pork Tenderloin Sandwich,Sandwiches,6,7,45,346,411
XYZ,XYZ2024000051,536373,631,Boston,Massachusetts,793178,2025-03-09,11:48,AM,3,March,2025,Spring,Delivery,Yes,No,F,No,303,Spaghetti And Meatballs,303_Spaghetti And Meatballs,Pasta,1,6,6,384,411
XYZ,XYZ2024000052,536373,631,Boston,Massachusetts,793178,2025-03-09,11:48,AM,3,March,2025,Spring,Delivery,Yes,No,F,Yes,305,Baked Ziti,305_Baked Ziti,Pasta,2,10,19,371,411
XYZ,XYZ2024000053,536373,631,Boston,Massachusetts,793178,2025-03-09,11:48,AM,3,March,2025,Spring,Delivery,Yes,No,M,No,253,Hawaiian,253_Hawaiian,Pizza,3,2,6,384,411
XYZ,XYZ2024000054,536373,631,Boston,Massachusetts,793178,2025-03-09,11:48,AM,3,March,2025,Spring,Delivery,Yes,No,M,No,254,Garlic Bread Sticks,254_Garlic Bread Sticks,Appetizers,3,4,13,378,411
XYZ,XYZ2024000055,536373,631,Boston,Massachusetts,793178,2025-03-09,11:48,AM,3,March,2025,Spring,Delivery,Yes,No,F,Yes,311,French Fries,311_French Fries,Appetizers,4,11,43,348,411
XYZ,XYZ2024000056,536373,631,Boston,Massachusetts,793178,2025-03-09,11:48,AM,3,March,2025,Spring,Delivery,Yes,No,M,No,287,Hot Brown Sandwich,287_Hot Brown Sandwich,Sandwiches,5,7,37,353,411
XYZ,XYZ2024000057,536373,631,Boston,Massachusetts,793178,2025-03-09,11:48,AM,3,March,2025,Spring,Delivery,Yes,No,F,Yes,291,Lemonade,291_Lemonade,Beverages,3,9,26,365,411
XYZ,XYZ2024000058,536373,631,Boston,Massachusetts,793178,2025-03-09,11:48,AM,3,March,2025,Spring,Delivery,Yes,No,M,Yes,261,Grilled Cheese,261_Grilled Cheese,Sandwiches,5,7,37,353,411
XYZ,XYZ2024000059,536373,631,Boston,Massachusetts,793178,2025-03-09,11:48,AM,3,March,2025,Spring,Delivery,Yes,No,F,No,311,French Fries,311_French Fries,Appetizers,6,11,64,326,411
XYZ,XYZ2024000060,536373,631,Boston,Massachusetts,793178,2025-03-09,11:48,AM,3,March,2025,Spring,Delivery,Yes,No,M,No,314,Fattoush,314_Fattoush,Salads,4,5,21,369,411
XYZ,XYZ2024000061,536373,631,Boston,Massachusetts,793178,2025-03-09,11:48,AM,3,March,2025,Spring,Delivery,Yes,No,M,Yes,292,Bottled Water,292_Bottled Water,Beverages,1,1,1,389,411
XYZ,XYZ2024000062,536373,631,Boston,Massachusetts,793178,2025-03-09,11:48,AM,3,March,2025,Spring,Delivery,Yes,No,M,No,264,Classic Carrot Cake,264_Classic Carrot Cake,Dessert,2,7,15,376,411
XYZ,XYZ2024000063,536373,631,Boston,Massachusetts,793178,2025-03-09,11:48,AM,3,March,2025,Spring,Delivery,Yes,No,F,Yes,257,Soft Drinks,257_Soft Drinks,Beverages,2,4,9,382,411
XYZ,XYZ2024000064,536373,631,Boston,Massachusetts,793178,2025-03-09,11:48,AM,3,March,2025,Spring,Delivery,Yes,No,M,No,279,Toasted Ravioli,279_Toasted Ravioli,Pasta,4,6,26,365,411
XYZ,XYZ2024000065,536374,911,Phoenix,Arizona,226918,2025-03-09,11:51,AM,3,March,2025,Spring,Carry Out,Yes,Yes,F,Yes,289,Dough Dunkers,289_Dough Dunkers,Appetizers,2,2,4,0,4
XYZ,XYZ2024000066,536375,572,Seattle,Washington,374002,2025-03-09,15:04,PM,3,March,2025,Spring,Dine In,Yes,Yes,F,No,289,Dough Dunkers,289_Dough Dunkers,Appetizers,6,2,13,349,362
XYZ,XYZ2024000067,536375,572,Seattle,Washington,374002,2025-03-09,15:04,PM,3,March,2025,Spring,Dine In,Yes,Yes,M,Yes,319,Cheese Curds,319_Cheese Curds,Appetizers,2,10,19,342,362
XYZ,XYZ2024000068,536375,572,Seattle,Washington,374002,2025-03-09,15:04,PM,3,March,2025,Spring,Dine In,Yes,Yes,F,Yes,251,Pan Pizza,251_Pan Pizza,Pizza,5,10,48,314,362
XYZ,XYZ2024000069,536375,572,Seattle,Washington,374002,2025-03-09,15:04,PM,3,March,2025,Spring,Dine In,Yes,Yes,M,No,316,House Salad,316_House Salad,Salads,4,4,17,345,362
XYZ,XYZ2024000070,536375,572,Seattle,Washington,374002,2025-03-09,15:04,PM,3,March,2025,Spring,Dine In,Yes,Yes,F,No,302,Made-Rite,302_Made-Rite,Sandwiches,4,6,26,336,362
XYZ,XYZ2024000071,536375,572,Seattle,Washington,374002,2025-03-09,15:04,PM,3,March,2025,Spring,Dine In,Yes,Yes,M,Yes,285,Italian Dip,285_Italian Dip,Appetizers,5,6,32,330,362
XYZ,XYZ2024000072,536375,572,Seattle,Washington,374002,2025-03-09,15:04,PM,3,March,2025,Spring,Dine In,Yes,Yes,F,No,291,Lemonade,291_Lemonade,Beverages,4,9,34,327,362
XYZ,XYZ2024000073,536375,572,Seattle,Washington,374002,2025-03-09,15:04,PM,3,March,2025,Spring,Dine In,Yes,Yes,M,Yes,278,Blta,278_Blta,Sandwiches,3,7,22,339,362
XYZ,XYZ2024000074,536375,572,Seattle,Washington,374002,2025-03-09,15:04,PM,3,March,2025,Spring,Dine In,Yes,Yes,F,No,266,Chicken Wings,266_Chicken Wings,Appetizers,2,5,11,351,362
XYZ,XYZ2024000075,536375,572,Seattle,Washington,374002,2025-03-09,15:04,PM,3,March,2025,Spring,Dine In,Yes,Yes,M,Yes,261,Grilled Cheese,261_Grilled Cheese,Sandwiches,3,7,22,339,362
XYZ,XYZ2024000076,536375,572,Seattle,Washington,374002,2025-03-09,15:04,PM,3,March,2025,Spring,Dine In,Yes,Yes,M,Yes,266,Chicken Wings,266_Chicken Wings,Appetizers,5,5,27,335,362
XYZ,XYZ2024000077,536375,572,Seattle,Washington,374002,2025-03-09,15:04,PM,3,March,2025,Spring,Dine In,Yes,Yes,F,No,288,Italian Beef Sandwich,288_Italian Beef Sandwich,Sandwiches,4,9,34,327,362
XYZ,XYZ2024000078,536375,572,Seattle,Washington,374002,2025-03-09,15:04,PM,3,March,2025,Spring,Dine In,Yes,Yes,F,Yes,259,Reuben Sandwich,259_Reuben Sandwich,Sandwiches,1,3,3,358,362
XYZ,XYZ2024000079,536375,572,Seattle,Washington,374002,2025-03-09,15:04,PM,3,March,2025,Spring,Dine In,Yes,Yes,M,No,274,Mac And Cheese,274_Mac And Cheese,Pasta,1,7,7,354,362
XYZ,XYZ2024000080,536375,572,Seattle,Washington,374002,2025-03-09,15:04,PM,3,March,2025,Spring,Dine In,Yes,Yes,M,No,302,Made-Rite,302_Made-Rite,Sandwiches,3,6,19,342,362
XYZ,XYZ2024000081,536375,572,Seattle,Washington,374002,2025-03-09,15:04,PM,3,March,2025,Spring,Dine In,Yes,Yes,F,Yes,273,Bananas Foster,273_Bananas Foster,Dessert,6,4,26,336,362
XYZ,XYZ2024000082,536376,953,San Francisco,California,409662,2025-03-09,16:57,PM,3,March,2025,Spring,Carry Out,No,No,M,Yes,315,Sweet Tea,315_Sweet Tea,Beverages,2,2,4,26,30
XYZ,XYZ2024000083,536376,953,San Francisco,California,409662,2025-03-09,16:57,PM,3,March,2025,Spring,Carry Out,No,No,F,No,325,Cincinnati Chili,325_Cincinnati Chili,Pasta,6,4,26,4,30
XYZ,XYZ2024000084,536377,957,Detroit,Michigan,540315,2025-03-09,17:20,PM,3,March,2025,Spring,Dine In,Yes,Yes,F,Yes,267,Chicken Mini Tacos,267_Chicken Mini Tacos,Appetizers,3,6,19,19,39
XYZ,XYZ2024000085,536377,957,Detroit,Michigan,540315,2025-03-09,17:20,PM,3,March,2025,Spring,Dine In,Yes,Yes,M,Yes,282,Vanilla Gelato,282_Vanilla Gelato,Dessert,2,10,19,19,39
XYZ,XYZ2024000086,536378,799,San Diego,California,562019,2025-03-09,17:53,PM,3,March,2025,Spring,Delivery,Yes,Yes,F,No,306,Fresh-Brewed Iced Tea,306_Fresh-Brewed Iced Tea,Beverages,3,4,13,309,338
XYZ,XYZ2024000087,536378,799,San Diego,California,562019,2025-03-09,17:53,PM,3,March,2025,Spring,Delivery,Yes,Yes,F,Yes,263,Unsweetned Tea,263_Unsweetned Tea,Beverages,4,9,34,288,338
XYZ,XYZ2024000088,536378,799,San Diego,California,562019,2025-03-09,17:53,PM,3,March,2025,Spring,Delivery,Yes,Yes,M,No,256,Apple Pie,256_Apple Pie,Dessert,2,4,9,314,338
XYZ,XYZ2024000089,536378,799,San Diego,California,562019,2025-03-09,17:53,PM,3,March,2025,Spring,Delivery,Yes,Yes,F,No,295,Peach Cobbler,295_Peach Cobbler,Dessert,4,2,9,314,338
XYZ,XYZ2024000090,536378,799,San Diego,California,562019,2025-03-09,17:53,PM,3,March,2025,Spring,Delivery,Yes,Yes,M,Yes,284,Tasty Highlight,284_Tasty Highlight,Pizza,5,2,11,311,338
