chain,customer_id,order_number,restaurant_id,restaurant_city,restaurant_state,restaurant_zip_code,order_purchase_date,order_purchase_time,time_of_day,order_month,order_month_name,order_year,season,order_purchase_method,coupon_used,alcohol_purchased,gender,has_children,item_number,item_description,item_code,item_category,quantity,menu_price,item_total_cost,Profit,order_total_cost
XYZ,AL445832XP82,536365,714,Los Angeles,California,155096,2018-12-06,09:03,AM,12,December,2018,Winter,Dine In,Yes,No,M,No,276,Medium Cheese Pizza,276_Medium Cheese Pizza,Pizza,2,3,6,60,66
XYZ,AL445832XP83,536365,714,Los Angeles,California,155096,2018-12-06,09:03,AM,12,December,2018,Winter,Dine In,Yes,No,F,Yes,294,Banana Pudding,294_Banana Pudding,Dessert,1,2,2,64,66
XYZ,AL445832XP84,536365,714,Los Angeles,California,155096,2018-12-06,09:03,AM,12,December,2018,Winter,Dine In,Yes,No,F,Yes,283,Bruschetta,283_Bruschetta,Appetizers,1,4,4,62,66
XYZ,AL445832XP85,536365,714,Los Angeles,California,155096,2018-12-06,09:03,AM,12,December,2018,Winter,Dine In,Yes,No,M,No,252,Ambrosia,252_Ambrosia,Salads,3,8,24,42,66
XYZ,AL445832XP86,536365,714,Los Angeles,California,155096,2018-12-06,09:03,AM,12,December,2018,Winter,Dine In,Yes,No,M,No,279,Toasted Ravioli,279_Toasted Ravioli,Pasta,2,6,12,54,66
XYZ,AL445832XP87,536365,714,Los Angeles,California,155096,2018-12-06,09:03,AM,12,December,2018,Winter,Dine In,Yes,No,F,Yes,259,Reuben Sandwich,259_Reuben Sandwich,Sandwiches,3,3,9,57,66
XYZ,AL445832XP88,536365,714,Los Angeles,California,155096,2018-12-06,09:03,AM,12,December,2018,Winter,Dine In,Yes,No,F,No,319,Cheese Curds,319_Cheese Curds,Appetizers,1,9,9,57,66
XYZ,AL445832XP89,536366,641,Chicago,Illinois,531543,2019-02-19,17:44,PM,2,February,2019,Winter,Carry Out,No,Yes,M,Yes,258,Caesar Salad,258_Caesar Salad,Salads,1,10,10,18,28
XYZ,AL445832XP90,536366,641,Chicago,Illinois,531543,2019-02-19,17:44,PM,2,February,2019,Winter,Carry Out,No,Yes,F,Yes,305,Baked Ziti,305_Baked Ziti,Pasta,2,9,18,10,28
XYZ,AL445832XP91,536367,984,Miami,Florida,387604,2019-03-06,14:07,PM,3,March,2019,Spring,Delivery,No,No,M,No,254,Garlic Bread Sticks,254_Garlic Bread Sticks,Appetizers,3,4,12,185,197
